"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","주차현황 정보 제공여부","주차현황 정보 제공여부명","총 주차면","현재 주차 차량수","현재 주차 차량수 업데이트시간","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 요금","버스 추가 단위 시간(분 단위)","일 최대 요금","공유 주차장 관리업체명","공유 주차장 여부","공유 주차장 관리업체 링크","공유 주차장 기타사항"
"171721","세종로 공영주차장(시)","종로구 세종로 80-1","NW","노외 주차장","1","시간제 주차장","02-2290-6566","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1260","771","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","176000","","430","5","430","5","0","0","0","0","","*","N","*","*"
"171730","종묘주차장 공영주차장(시)","종로구 훈정동 2-0","NW","노외 주차장","1","시간제 주차장","02-2290-6166","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1317","1199","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","175000","","400","5","400","5","0","0","0","0","","*","N","*","*"
"171900","훈련원공원 공영주차장(시)","중구 을지로5가 40-3","NW","노외 주차장","1","시간제 주차장","02-3405-4597","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","873","682","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","176000","","550","5","550","5","0","0","0","0","","*","N","*","*"
"172051","한강진역 공영주차장(시)","용산구 한남동 728-27","NW","노외 주차장","1","시간제 주차장","02-795-6406","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","174","131","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","201000","","400","5","400","5","0","0","0","0","","*","N","*","*"
"172065","용산주차빌딩 공영주차장(시)","용산구 한강로2가 12-9","NW","노외 주차장","1","시간제 주차장","02-2290-6014","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","561","241","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","198000","","270","5","270","5","0","0","0","0","","*","N","*","*"
"172382","봉화산역(남) 공영주차장(시)","중랑구 신내동 647-0","NW","노외 주차장","1","시간제 주차장","","0","미연계중","85","0","","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","N","무료","N","무료","42000","","80","5","80","5","0","0","0","0","5700","*","N","*","*"
"172605","우이동 공영주차장(시)","강북구 우이동 105-2","NW","노외 주차장","1","시간제 주차장","02-944-3044","0","미연계중","82","0","2025-04-03 12:34:37","N","무료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","","","","","","","0","0","0","0","80000","*","N","*","*"
"172844","마포유수지(시)","마포구 마포동 36-1","NW","노외 주차장","5","시간제 + 버스전용 주차장","02-2290-6093","0","미연계중","503","0","2026-01-30 16:36:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","162000","","220","5","220","5","","","","","","*","N","*","*"
"172935","웃우물 공영주차장(시)","양천구 신정동 943-25","NW","노외 주차장","1","시간제 주차장","02-2290-6311","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","79","59","2026-03-19 16:14:31","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","144000","","200","5","200","5","0","0","0","0","","*","N","*","*"
"172937","목동체비지 공영주차장(시)","양천구 목동 908-26","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","55","59","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","N","무료","N","무료","90000","","130","5","130","5","0","0","0","0","0","*","N","*","*"
"172970","방화역(서) 공영주차장(시)","강서구 방화동 829-1","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","69","28","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","N","무료","N","무료","109000","","290","5","290","5","0","0","0","0","","*","N","*","*"
"172971","방화역(동) 공영주차장(시)","강서구 방화동 830-4","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","67","2669","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","N","무료","N","무료","109000","","290","5","290","5","0","0","0","0","","*","N","*","*"
"172979","개화산역 공영주차장(시)","강서구 방화동 845-0","NW","노외 주차장","1","시간제 주차장","02-2290-6064","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","321","184","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","109000","","290","5","290","5","0","0","0","0","0","*","N","*","*"
"173005","가양3동 공영주차장(시)","강서구 가양동 1488-12","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","56","456","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","144000","","200","5","200","5","0","0","0","0","0","*","N","*","*"
"173047","가양역 공영주차장(시)","강서구 가양동 1480-10","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","79","61","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","N","무료","N","무료","168000","","320","5","320","5","0","0","0","0","","*","N","*","*"
"173424","일원역 공영주차장(시)","강남구 일원동 716-2","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","67","61","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","84000","","290","5","290","5","0","0","0","0","","*","N","*","*"
"173452","사당노외 공영주차장(시)","서초구 방배동 507-1","NW","노외 주차장","1","시간제 주차장","02-3405-4078","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","183","116","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","218000","","400","5","400","5","0","0","0","0","","*","N","*","*"
"173553","수서역북 공영주차장(시)","강남구 수서동 735-0","NW","노외 주차장","1","시간제 주차장","02-3405-4076","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","561","479","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","200000","","320","5","320","5","0","0","0","0","","*","N","*","*"
"173646","신천유수지 공영주차장(시)","송파구 신천동 14-0","NW","노외 주차장","1","시간제 주차장","02-414-6417","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","192","171","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","168000","","440","5","440","5","0","0","0","0","","*","N","*","*"
"173752","복정역 공영주차장(시)","송파구 장지동 600-2","NW","노외 주차장","1","시간제 주차장","02-3405-4075","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","362","282","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","109000","","280","5","280","5","0","0","0","0","","*","N","*","*"
"173828","남산한옥마을 공영주차장(시)","중구 필동2가 83-1","NW","노외 주차장","5","시간제 + 버스전용 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","16","1","2026-03-19 16:14:33","Y","유료","N","야간 미개방","0900","2000","0900","2000","0900","2000","N","무료","N","무료","","","500","5","500","5","860","5","","","","*","N","*","*"
"173831","도봉산 공영주차장(시)","도봉구 도봉동 282-26","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","142","105","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","N","무료","N","무료","126000","","170","5","170","5","0","0","0","0","","*","N","*","*"
"173840","볕우물 공영주차장(시)","강동구 암사동 473-3","NW","노외 주차장","1","시간제 주차장","02-2290-6410","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","96","83","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","0000","0000","0000","0000","0000","Y","유료","Y","유료","80000","","120","5","120","5","0","0","0","0","","*","N","*","*"
